time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,9430,10220,9430,10060,762975,GVR,,,0
2020-01-03,10060,10850,10060,10400,1116553,GVR,,,0
2020-01-06,10850,10850,10150,10220,408280,GVR,,,0
2020-01-07,10310,10310,9780,9960,537260,GVR,,,0
2020-01-08,9960,9960,9520,9610,503454,GVR,,,0
2020-01-09,9780,9870,9690,9780,200020,GVR,,,0
2020-01-10,9780,10310,9780,9960,409717,GVR,,,0
2020-01-13,10060,10060,9870,10060,185830,GVR,,,0
2020-01-14,10060,10220,9870,9960,290900,GVR,,,0
2020-01-15,9960,10060,9870,9870,188608,GVR,9988.0,,0
2020-01-16,9960,9960,9610,9960,463400,GVR,9978.0,,0
2020-01-17,9960,10400,9870,10150,355706,GVR,9953.0,,0
2020-01-20,10220,10400,10150,10220,309240,GVR,9953.0,,0
2020-01-21,10310,10490,10220,10490,435320,GVR,10006.0,,0
2020-01-22,10490,10850,10220,10760,540290,GVR,10121.0,,0
2020-01-30,10490,10580,10060,10220,372714,GVR,10165.0,,0
2020-01-31,10150,10150,9610,9610,655457,GVR,10130.0,,0
2020-02-03,9330,9520,8450,9240,965930,GVR,10048.0,,0
2020-02-04,9080,9330,9080,9240,353930,GVR,9976.0,,0
2020-02-05,9330,9610,9080,9330,470640,GVR,9922.0,,0
2020-02-06,9240,9870,9240,9690,308048,GVR,9895.0,,0
2020-02-07,9780,9780,9520,9690,268160,GVR,9849.0,,0
2020-02-10,9690,9690,9330,9610,201190,GVR,9788.0,,0
2020-02-11,9610,9780,9520,9690,399300,GVR,9708.0,,0
2020-02-12,9780,9780,9610,9610,283400,GVR,9593.0,,0
2020-02-13,9610,9780,9430,9610,727243,GVR,9532.0,,0
2020-02-14,9690,10150,9520,10060,678971,GVR,9577.0,,0
2020-02-17,9960,10220,9870,9870,314400,GVR,9640.0,,0
2020-02-18,9870,10060,9870,10060,472400,GVR,9722.0,,0
2020-02-19,10060,10490,9960,10490,1159367,GVR,9838.0,,0
